German,English
teil,part
geschichte,history
suchen,search
nur,only
polizei,police
dachte,thought
hilfe,help
anfrage,request
art,kind
monat,month
bruder,brother
lassen,let
denn,because
stellen,to put
kein,no
leine,leash
sie,them
stadt,city
jede,each
sprach,speak
gekommen,come
sollte,should
baby,baby
lange,long time
stunden,hours
werden,will
während,while
wiedersehen,meet again
keine,any
platz,square
spricht,speak
verstanden,understood
wußte,knew
waren,were
achtung,warning
hier ist,here is
könnte,could
fall,case
geben,give
typ,type
ihr,their
gegeben,given
zug,train
körper,body
ort,place
augen,eyes
weise,way
hör zu,listen
dessen,whose
findet,find
erste,first
verloren,lost
hand,hand
erste,first
seite,side
macht,power
alt,old
sei,be
hier,here
morgen,morning
so viel,so much
kind,child
punkt,point
kam,came
nach,after
entschuldigung,sorry
komm,come
vor,in front of
nach,towards
minuten,minutes
gefragt,request
zimmer,bedroom
gesetzt,placed
schön,beautiful
recht,law
möchte,would like to
heute,today
ehemann,husband
grund,cause
endlich,finally
hoffe,hope
wasser,water
warten,wait
verlassen,left
neu,new
arbeit,job
aufhören,stop
würde sagen,would say
erde,earth
konto,account
gibt,given
weit,far
ende,end
glauben,believe
schatz,sweetheart
groß,large
eher,rather
wird haben,will have
mädchen,girls
spielen,to play
büro,office
freund,friend
berg,mountain
kalt,cold
warm,warm
klein,small
haus,house
baum,tree
licht,light
schatten,shadow
nacht,night
tag,day
wochenende,weekend
spät,late
früh,early
leben,life
tod,death
schnell,fast
langsam,slow
weit,far
nah,close
flugzeug,airplane
auto,car
fahrrad,bicycle
straße,street
uhr,clock
kleid,dress
hose,pants
schule,school
universität,university
schule,school
freundin,girlfriend
lehrer,teacher
buch,book
stift,pen
stuhl,chair
tisch,table
fenster,window
tür,door
essen,food
wasser,water
milch,milk
kaffee,coffee
tee,tea
hund,dog
katze,cat
vogel,bird
pferd,horse
fisch,fish
schwimmen,swim
laufen,run
springen,jump
schlafen,sleep
weinen,cry
lachen,laugh
singen,sing
tanzen,dance
spielen,play
lesen,read
schreiben,write
schön,beautiful
hässlich,ugly
kurz,short
lang,long
laut,loud
leise,quiet
stark,strong
schwach,weak
jung,young
alt,old
rot,red
blau,blue
grün,green
gelb,yellow
weiß,white
schwarz,black
braun,brown
grau,gray
rosa,pink
lila,purple
gold,gold
silber,silver
sonne,sun
mond,moon
stern,star
wolkig,cloudy
regen,rain
schnee,snow
wind,wind
blume,flower
wiese,meadow
fluss,river